run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
1,42,ELM,0.7775,0.7872340425531915,0.9704918032786886,0.869309838472834,0.564193270060397,15,80,9,296,1.3481246999999996,0.00032329999999802794
1,42,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6161863675582399,0,95,0,305,0.06936280000000039,0.0010779999999996903
1,42,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.18521189999999876,0.016129400000000516
1,42,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.039758412424503876,0,95,0,305,0.23100769999999926,0.02078300000000155
1,42,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9209318377911994,0,95,0,305,0.5421961999999994,0.0027241000000017834
1,42,MLP,0.8225,0.8232044198895028,0.9770491803278688,0.8935532233883059,0.8841415012942191,31,64,7,298,1.0849788000000018,0.0017518999999985851
1,42,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.0347799000000002,0.01067430000000158
1,42,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.013534799999998626,0.001026100000000696
2,43,ELM,0.785,0.7904509283819628,0.9770491803278688,0.873900293255132,0.5727351164797239,16,79,7,298,0.009994899999998808,0.00026030000000076825
2,43,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.5848835202761,0,95,0,305,0.011063400000001167,0.0008361999999983993
2,43,RF,0.9925,0.9902597402597403,1.0,0.9951060358890701,1.0,92,3,0,305,0.1363714999999992,0.01367439999999931
2,43,SVC_RBF,0.7675,0.7663316582914573,1.0,0.8677098150782361,0.9611044003451251,2,93,0,305,0.17305819999999983,0.017131200000001456
2,43,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9382226056945643,0,95,0,305,0.3341095000000003,0.0020730999999969413
2,43,MLP,0.83,0.8228882833787466,0.9901639344262295,0.8988095238095238,0.85839516824849,30,65,3,302,2.1173632,0.0035989000000000715
2,43,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.03132629999999992,0.010982000000002046
2,43,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.015741699999999526,0.0014905000000027258
3,44,ELM,0.775,0.783641160949868,0.9737704918032787,0.868421052631579,0.5553062985332182,13,82,8,297,0.10551930000000098,0.0007601000000008185
3,44,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6155651423641069,0,95,0,305,0.01736410000000177,0.001410499999998649
3,44,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,0.9999827437446075,94,1,0,305,0.1368477999999982,0.016484600000001848
3,44,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.06636755823986194,0,95,0,305,0.24884560000000278,0.021861599999997594
3,44,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9312510785159621,0,95,0,305,0.10590970000000155,0.008284099999997352
3,44,MLP,0.8175,0.8152173913043478,0.9836065573770492,0.8915304606240714,0.872407247627265,27,68,5,300,1.9898419999999994,0.0029037000000009527
3,44,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.02342050000000029,0.008832099999999343
3,44,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.012354199999997206,0.000950000000003115
4,45,ELM,0.775,0.7735368956743003,0.9967213114754099,0.8710601719197708,0.529939603106126,6,89,1,304,0.017741400000002017,0.0003335999999976025
4,45,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.5888179465056084,0,95,0,305,0.019023900000000538,0.0009915000000013663
4,45,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.15490289999999973,0.04691569999999956
4,45,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.027817083692838675,1,94,0,305,0.21577840000000137,0.022903299999999405
4,45,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9372217428817946,0,95,0,305,0.7547350000000002,0.00793339999999887
