algo,run_id,seed,train_time_sec,test_time_sec,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
GA,1,43,17.4139871,0.00024469999999965353,0.8275,0.8241758241758241,0.9836065573770492,0.8968609865470852,0.7663157894736842,31,64,5,300
GA,2,44,17.9236321,0.0003661999999948762,0.835,0.8328690807799443,0.980327868852459,0.9006024096385542,0.7909922346850734,35,60,6,299
GA,3,45,17.452027199999996,0.00015199999999992997,0.8275,0.8259668508287292,0.980327868852459,0.896551724137931,0.8014495254529767,32,63,6,299
GA,4,46,17.614403199999998,0.00026530000000946075,0.8275,0.8224043715846995,0.9868852459016394,0.8971684053651267,0.7420534943917171,30,65,4,301
GA,5,47,19.072689300000008,0.00042829999999582924,0.825,0.8201634877384196,0.9868852459016394,0.8958333333333334,0.7493011216566006,29,66,4,301
GA,6,48,17.196634000000003,0.0002504999999928259,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.7523727351164798,26,69,2,303
GA,7,49,18.32346530000001,0.0003011000000014974,0.8175,0.8169398907103825,0.980327868852459,0.8912071535022354,0.7776358930112166,28,67,6,299
GA,8,50,18.2049054,0.00029039999998303756,0.8325,0.8287292817679558,0.9836065573770492,0.8995502248875562,0.7995168248490079,33,62,5,300
GA,9,51,11.982812600000017,0.00025469999999927495,0.8325,0.8342696629213483,0.9737704918032787,0.8986384266263238,0.7953408110440034,36,59,8,297
GA,10,52,12.883621800000014,0.00014429999998810672,0.83,0.8338028169014085,0.9704918032786886,0.896969696969697,0.7772562553925797,36,59,9,296
GA,11,53,10.863641599999994,0.0001675000000034288,0.83,0.8338028169014085,0.9704918032786886,0.896969696969697,0.7813977566867989,36,59,9,296
GA,12,54,10.354841800000003,0.00010789999998905841,0.8275,0.8241758241758241,0.9836065573770492,0.8968609865470852,0.7516824849007765,31,64,5,300
GA,13,55,10.885466900000011,6.97000000116077e-05,0.825,0.821917808219178,0.9836065573770492,0.8955223880597015,0.780327868852459,30,65,5,300
GA,14,56,11.056378799999976,0.00013960000001134176,0.825,0.8236914600550964,0.980327868852459,0.8952095808383234,0.7647282139775669,31,64,6,299
GA,15,57,11.438189699999981,0.00010939999998527128,0.8275,0.8224043715846995,0.9868852459016394,0.8971684053651267,0.7503364969801553,30,65,4,301
GA,16,58,10.656787899999983,8.100000002286833e-05,0.825,0.8236914600550964,0.980327868852459,0.8952095808383234,0.7905780845556515,31,64,6,299
GA,17,59,10.369095399999964,0.00012290000000803047,0.84,0.8375350140056023,0.980327868852459,0.9033232628398792,0.7659361518550474,37,58,6,299
GA,18,60,11.057061099999999,6.369999999833453e-05,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.716755823986195,26,69,2,303
GA,19,61,11.529569900000013,0.00011990000001560475,0.83,0.8246575342465754,0.9868852459016394,0.8985074626865671,0.753718723037101,31,64,4,301
GA,20,62,10.933842499999969,0.00013470000004645044,0.8275,0.8241758241758241,0.9836065573770492,0.8968609865470852,0.7671095772217428,31,64,5,300
RUN,1,43,19.413049900000033,0.0001240000000279906,0.845,0.8347107438016529,0.9934426229508196,0.907185628742515,0.7740120793787749,35,60,2,303
RUN,2,44,18.651046000000008,0.00011649999999008287,0.84,0.8319559228650137,0.9901639344262295,0.9041916167664671,0.738602243313201,34,61,3,302
RUN,3,45,17.21685080000003,0.00010909999997466002,0.845,0.8328767123287671,0.9967213114754099,0.9074626865671642,0.746160483175151,34,61,1,304
