run,seed,model,accuracy,f1,roc_auc
1,42,SVM,0.7090909090909091,0.6521739130434783,0.802
1,42,MLP,0.7454545454545455,0.7307692307692307,0.8320000000000001
1,42,LR,0.7272727272727273,0.7169811320754716,0.752
1,42,XGB,0.6909090909090909,0.6382978723404256,0.7093333333333333
1,42,ELM,0.6909090909090909,0.6530612244897959,0.652
1,42,MGO,0.7454545454545455,0.7307692307692307,0.7546666666666666
1,42,RUN,0.5818181818181818,0.4888888888888889,0.5826666666666667
1,42,CLPSO,0.6909090909090909,0.6666666666666666,0.7253333333333334
1,42,GA,0.7818181818181819,0.7777777777777778,0.7866666666666666
2,43,SVM,0.7090909090909091,0.68,0.7720000000000001
2,43,MLP,0.6727272727272727,0.64,0.7493333333333333
2,43,LR,0.7090909090909091,0.6923076923076923,0.7333333333333333
2,43,XGB,0.6545454545454545,0.5777777777777777,0.68
2,43,ELM,0.7272727272727273,0.7058823529411765,0.764
2,43,MGO,0.6909090909090909,0.6046511627906976,0.748
2,43,RUN,0.6363636363636364,0.6296296296296297,0.708
2,43,CLPSO,0.6363636363636364,0.6,0.7413333333333334
2,43,GA,0.6,0.56,0.6946666666666667
3,44,SVM,0.6545454545454545,0.5581395348837209,0.6746666666666667
3,44,MLP,0.6181818181818182,0.5333333333333333,0.7026666666666667
3,44,LR,0.6181818181818182,0.5714285714285714,0.6933333333333334
3,44,XGB,0.7272727272727273,0.6938775510204082,0.7106666666666667
3,44,ELM,0.6727272727272727,0.625,0.6813333333333333
3,44,MGO,0.6,0.6071428571428571,0.6386666666666667
3,44,RUN,0.6,0.5416666666666666,0.6306666666666667
3,44,CLPSO,0.5818181818181818,0.5106382978723404,0.6026666666666667
3,44,GA,0.6,0.56,0.6133333333333334
4,45,SVM,0.6909090909090909,0.6046511627906976,0.812
4,45,MLP,0.7636363636363637,0.7346938775510204,0.8053333333333333
4,45,LR,0.7090909090909091,0.6521739130434783,0.7906666666666666
4,45,XGB,0.6909090909090909,0.6046511627906976,0.7186666666666667
4,45,ELM,0.6,0.5769230769230769,0.6906666666666668
4,45,MGO,0.6545454545454545,0.6545454545454545,0.668
4,45,RUN,0.6909090909090909,0.6530612244897959,0.7493333333333334
4,45,CLPSO,0.5636363636363636,0.42857142857142855,0.6546666666666666
4,45,GA,0.7272727272727273,0.7169811320754716,0.7613333333333333
