run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
1,42,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.48739035087719296,0.7614230068540464,0.1832515567219234
1,42,SVM,smote,5,19,18,58,0.63,0.7532467532467533,0.7631578947368421,0.7631578947368421,0.20833333333333334,0.21739130434782608,0.7581699346405228,0.48574561403508776,0.3987370412567353,-0.028932212488034546,0.4676535087719298,0.7581939001037518,0.25535854821304055
1,42,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5389254385964912,0.7911829999628551,0.1818176114235433
1,42,SVM,threshold,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.48739035087719296,0.7614230068540464,0.1832515567219234
1,42,MLP,none,3,21,6,70,0.73,0.7692307692307693,0.9210526315789473,0.9210526315789473,0.125,0.3333333333333333,0.8383233532934131,0.5230263157894737,0.3393104462691481,0.0687266093198987,0.4983552631578948,0.7737277266664614,0.2136523147505687
1,42,MLP,smote,7,17,20,56,0.63,0.7671232876712328,0.7368421052631579,0.7368421052631579,0.2916666666666667,0.25925925925925924,0.7516778523489933,0.5142543859649122,0.4635863249727653,0.027425061775122647,0.4616228070175439,0.7439211960409478,0.2547833338288515
1,42,MLP,threshold,6,18,20,56,0.62,0.7567567567567568,0.7368421052631579,0.7368421052631579,0.25,0.23076923076923078,0.7466666666666667,0.4934210526315789,0.42919753763947605,-0.012811391145348404,0.4983552631578948,0.7737277266664614,0.2136523147505687
1,42,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5010964912280702,0.7831148528213772,0.18638921952469953
1,42,XGB,smote,7,17,25,51,0.58,0.75,0.6710526315789473,0.6710526315789473,0.2916666666666667,0.21875,0.7083333333333334,0.48135964912280704,0.4424066954856429,-0.03413241757954689,0.509046052631579,0.7556715695715939,0.23484849369716299
1,42,XGB,classweight,8,16,22,54,0.62,0.7714285714285715,0.7105263157894737,0.7105263157894737,0.3333333333333333,0.26666666666666666,0.7397260273972602,0.5219298245614035,0.4866642633922876,0.04087595596566439,0.512609649122807,0.7865476206303766,0.2347201027015305
1,42,XGB,threshold,22,2,64,12,0.34,0.8571428571428571,0.15789473684210525,0.15789473684210525,0.9166666666666666,0.2558139534883721,0.26666666666666666,0.5372807017543859,0.380442955126341,0.09177264481608352,0.5010964912280702,0.7831148528213772,0.18638921952469953
1,42,LR,none,0,24,1,75,0.75,0.7575757575757576,0.9868421052631579,0.9868421052631579,0.0,0.0,0.8571428571428571,0.4934210526315789,0.0,-0.0564782494724905,0.5131578947368421,0.7786969208380637,0.18801170362481312
1,42,LR,smote,12,12,26,50,0.62,0.8064516129032258,0.6578947368421053,0.6578947368421053,0.5,0.3157894736842105,0.7246376811594203,0.5789473684210527,0.5735393346764044,0.1389288458097031,0.530701754385965,0.7832420590881042,0.24414370002243793
1,42,LR,classweight,13,11,29,47,0.6,0.8103448275862069,0.618421052631579,0.618421052631579,0.5416666666666666,0.30952380952380953,0.7014925373134329,0.5800438596491229,0.5787729003464472,0.13852615901096652,0.5175438596491229,0.7841123546398262,0.24520183125108755
1,42,LR,threshold,14,10,33,43,0.57,0.8113207547169812,0.5657894736842105,0.5657894736842105,0.5833333333333334,0.2978723404255319,0.6666666666666666,0.5745614035087719,0.5744944383100004,0.12760556749054988,0.5131578947368421,0.7786969208380637,0.18801170362481312
1,42,ELM,none,1,23,5,71,0.72,0.7553191489361702,0.9342105263157895,0.9342105263157895,0.041666666666666664,0.16666666666666666,0.8352941176470589,0.48793859649122806,0.19729530809548215,-0.04338111472569426,0.474780701754386,0.7591462552292244,0.2065376790656972
1,42,ELM,smote,8,16,26,50,0.58,0.7575757575757576,0.6578947368421053,0.6578947368421053,0.3333333333333333,0.23529411764705882,0.704225352112676,0.4956140350877193,0.468292905790847,-0.00790853679170939,0.4934210526315789,0.7662970784300989,0.2375246559383853
1,42,ELM,threshold,19,5,55,21,0.4,0.8076923076923077,0.27631578947368424,0.27631578947368424,0.7916666666666666,0.25675675675675674,0.4117647058823529,0.5339912280701754,0.46770717334674267,0.06619218758430008,0.474780701754386,0.7591462552292244,0.2065376790656972
1,42,MEO,none,1,23,8,68,0.69,0.7472527472527473,0.8947368421052632,0.8947368421052632,0.041666666666666664,0.1111111111111111,0.8143712574850299,0.4682017543859649,0.19308211143030823,-0.0949081747750982,0.47039473684210525,0.7667708032966082,0.21234749831262284
