run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
1,42,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4873903508771929,0.7614230068540464,0.1832515567219234
1,42,SVM,smote,5,19,18,58,0.63,0.7532467532467533,0.7631578947368421,0.7631578947368421,0.2083333333333333,0.217391304347826,0.7581699346405228,0.4857456140350877,0.3987370412567353,-0.0289322124880345,0.4676535087719298,0.7581939001037518,0.2553585482130405
1,42,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5389254385964912,0.7911829999628551,0.1818176114235433
1,42,SVM,threshold,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4873903508771929,0.7614230068540464,0.1832515567219234
1,42,MLP,none,3,21,6,70,0.73,0.7692307692307693,0.9210526315789472,0.9210526315789472,0.125,0.3333333333333333,0.8383233532934131,0.5230263157894737,0.3393104462691481,0.0687266093198987,0.4983552631578948,0.7737277266664614,0.2136523147505687
1,42,MLP,smote,7,17,20,56,0.63,0.7671232876712328,0.7368421052631579,0.7368421052631579,0.2916666666666667,0.2592592592592592,0.7516778523489933,0.5142543859649122,0.4635863249727653,0.0274250617751226,0.4616228070175439,0.7439211960409478,0.2547833338288515
1,42,MLP,threshold,6,18,20,56,0.62,0.7567567567567568,0.7368421052631579,0.7368421052631579,0.25,0.2307692307692307,0.7466666666666667,0.4934210526315789,0.429197537639476,-0.0128113911453484,0.4983552631578948,0.7737277266664614,0.2136523147505687
1,42,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5010964912280702,0.7831148528213772,0.1863892195246995
1,42,XGB,smote,7,17,25,51,0.58,0.75,0.6710526315789473,0.6710526315789473,0.2916666666666667,0.21875,0.7083333333333334,0.481359649122807,0.4424066954856429,-0.0341324175795468,0.509046052631579,0.7556715695715939,0.2348484936971629
1,42,XGB,classweight,8,16,22,54,0.62,0.7714285714285715,0.7105263157894737,0.7105263157894737,0.3333333333333333,0.2666666666666666,0.7397260273972602,0.5219298245614035,0.4866642633922876,0.0408759559656643,0.512609649122807,0.7865476206303766,0.2347201027015305
