model,feature,mean_abs_shap
ELM,Race,0.011187703813393084
ELM,Age,0.0024836145753325675
ELM,Sex,0.014037417484007535
ELM,BMI,0.008648532197260826
ELM,Epworth,0.0033104182258756683
ELM,Wast,0.016220435954632087
ELM,Hip,0.005553185582578179
ELM,RDI,0.017956023872590477
ELM,Neck,0.02045768389754327
ELM,M.Friedman,0.010561442684203112
ELM,Co-morbid,0.0026323986961075355
ELM,Snoring,0.00991749572221069
ELM,Daytime sleepiness,0.016904500788580485
ELM,DM,0.014073745396387526
ELM,HTN,0.009177496095840879
ELM,CAD,0.002412094551773728
ELM,CVA,0.00609185088846977
ELM,TST,0.007432023530955233
ELM,Sleep Effic,0.007900603233017217
ELM,REM AHI,0.011856857313867207
ELM,NREM AHI,0.0010635747704246612
ELM,Supine AHI,0.01466880665180619
ELM,Apnea Index,0.00212027637828514
ELM,Hypopnea Index,0.007191717611415588
ELM,Berlin Q,0.004391249345968466
ELM,Arousal index,0.006810169078496598
ELM,Awakening Index,0.0017241263648200898
ELM,PLM Index,0.0011707663409984696
ELM,Mins.SaO2,0.004221443602149327
ELM,Mins.SaO2Desats,0.015934011303359367
ELM,Lowest Sa02,0.004810710124026838
CLPSO,Race,0.02156985911851362
CLPSO,Age,0.011701556438072797
CLPSO,Sex,0.029826494461150394
CLPSO,BMI,0.004101843742021251
CLPSO,Epworth,0.0003902829229853385
CLPSO,Wast,0.005806373928033298
CLPSO,Hip,0.002049281622976942
CLPSO,RDI,0.009426967841989342
CLPSO,Neck,0.003495909378657425
CLPSO,M.Friedman,0.01027737419678802
CLPSO,Co-morbid,0.012344370155567106
CLPSO,Snoring,0.004507362496750334
CLPSO,Daytime sleepiness,0.014757660300487049
CLPSO,DM,0.002846447416177076
CLPSO,HTN,0.0049140868767100585
CLPSO,CAD,0.0031862564741678367
CLPSO,CVA,0.004476323663962198
CLPSO,TST,0.010186748530964254
CLPSO,Sleep Effic,0.01123955872483576
CLPSO,REM AHI,0.004531491262880259
CLPSO,NREM AHI,0.016329596453834527
CLPSO,Supine AHI,0.009397657145552666
CLPSO,Apnea Index,0.024411583392879282
CLPSO,Hypopnea Index,0.04799080278287829
CLPSO,Berlin Q,0.00374779681239835
CLPSO,Arousal index,0.006251565546162184
CLPSO,Awakening Index,0.00436099800776384
CLPSO,PLM Index,0.002135260274571759
CLPSO,Mins.SaO2,0.013478978247025108
CLPSO,Mins.SaO2Desats,0.001582798831040193
CLPSO,Lowest Sa02,0.014115398454390084
SVM,Race,0.040993925139767746
SVM,Age,0.0013473226487608226
SVM,Sex,0.01307834218157909
SVM,BMI,0.0013470851588010101
SVM,Epworth,0.0031024136567175554
SVM,Wast,0.002584395397876296
SVM,Hip,0.0016235949622706368
SVM,RDI,0.015781104368876617
SVM,Neck,0.027557454804132762
SVM,M.Friedman,0.008661366412482274
SVM,Co-morbid,0.01077582690962002
SVM,Snoring,0.0031698955186665843
SVM,Daytime sleepiness,0.008102770718058263
SVM,DM,0.005285155494444133
SVM,HTN,0.000601313888292806
SVM,CAD,0.001865742489263083
SVM,CVA,0.0018216787803718554
SVM,TST,0.0
SVM,Sleep Effic,0.0034922668897391074
SVM,REM AHI,0.006163494703002442
SVM,NREM AHI,0.012093657329613646
SVM,Supine AHI,0.030432421376941136
SVM,Apnea Index,0.009510068449247329
SVM,Hypopnea Index,0.017058667720251542
SVM,Berlin Q,0.008222728505607253
SVM,Arousal index,0.002570470415044805
SVM,Awakening Index,0.0
SVM,PLM Index,0.000229068665323202
SVM,Mins.SaO2,0.000909757019560201
SVM,Mins.SaO2Desats,0.0008784184137699779
SVM,Lowest Sa02,0.014802227583757311
