model,feature,mean_abs_shap
ELM,Age,0.011263790159243916
ELM,Gender,0.016446004004832444
ELM,BMI,0.014858784250034132
ELM,Snoring,0.01649194131220436
ELM,Oxygen_Saturation,0.02029796805508203
ELM,AHI,0.012765826643279127
ELM,ECG_Heart_Rate,0.016115329505993366
ELM,SpO2,0.018141294378060235
ELM,Nasal_Airflow,0.01478882185846032
ELM,Chest_Movement,0.011560252038899385
HGS,Age,0.016068037362701012
HGS,Gender,0.01733440535456254
HGS,BMI,0.015669198959701886
HGS,Snoring,0.02124593710082523
HGS,Oxygen_Saturation,0.01293897251023726
HGS,AHI,0.01845384720273707
HGS,ECG_Heart_Rate,0.00892776623727348
HGS,SpO2,0.012914840734997537
HGS,Nasal_Airflow,0.01269241430030358
HGS,Chest_Movement,0.019138420774620368
XGB,Age,0.021602749819747052
XGB,Gender,0.005143042654642279
XGB,BMI,0.01841469467387056
XGB,Snoring,0.0004057067588212154
XGB,Oxygen_Saturation,0.00529420320049797
XGB,AHI,0.030574802471282275
XGB,ECG_Heart_Rate,0.009759262781221814
XGB,SpO2,0.0075712865948966025
XGB,Nasal_Airflow,0.011159739026867843
XGB,Chest_Movement,0.008600640457939955
